NM_001257411	1	0	3	2	1	0	1	0	3	0	0	0	0	1	2
NM_001145098	936	943	638	649	1114	29	1853	31	1041	69	89	1936	79	1521	1532
NM_001166538	1	0	0	0	0	0	1	0	1	0	0	1	0	0	6
NM_001257412	1	0	3	2	1	0	1	0	3	0	0	0	0	1	2
NM_001145099	156	131	70	68	180	4	547	14	414	6	12	364	27	219	190
NM_178120	31	34	30	12	35	0	36	4	53	0	0	24	0	15	22
NM_001257413	1	0	3	2	1	0	1	0	1	0	0	0	0	0	2
NM_001257414	1	0	3	2	1	0	1	0	1	0	0	0	0	0	2
NM_001291896	332	297	204	215	348	1	562	6	351	7	26	469	9	432	432
NM_178122	404	368	273	219	478	9	606	13	544	40	20	532	11	376	355
NR_108100	88	93	4	4	19	7	71	5	83	4	2	93	9	92	83
NM_001291897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NM_178123	550	576	357	329	655	15	1016	12	564	24	32	859	27	724	734
NM_178124	214	177	76	79	132	2	213	2	196	10	7	206	9	128	92
NM_001097589	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
NR_002560	2863	2539	294	192	568	225	2387	273	1856	496	132	3538	980	2707	2285
NM_178125	0	0	0	0	0	0	3	1	0	0	0	1	0	2	2
NM_178126	873	657	494	360	804	41	1579	56	1166	75	41	1216	44	979	941
NR_002561	1416	1310	112	99	194	36	1221	110	1153	53	64	1627	205	1345	1265
NM_178127	1	1	4	1	3	0	0	0	1	0	0	3	0	0	1
NR_002562	478	431	246	217	404	25	133	27	232	41	12	215	88	203	190
NR_108104	0	0	0	0	0	0	6	0	6	0	0	2	0	7	14
NM_001242750	0	1	5	2	5	0	3	0	0	0	1	7	0	2	1
NM_178128	1	3	1	0	0	0	2	0	1	0	0	1	0	1	0
NM_005780	480	418	349	254	662	18	903	15	858	33	37	852	19	607	636
NM_001204070	2	1	2	0	0	0	4	0	6	0	0	0	0	6	4
NR_002563	3514	3217	544	492	1008	146	2614	150	1688	259	144	3503	678	3350	3082
NR_108105	0	0	0	0	0	0	1	0	2	0	0	0	0	1	4
NR_030732	324	263	221	151	373	0	90	7	114	17	2	119	0	66	73
NR_002564	2353	2170	672	460	1337	350	1604	341	1512	608	67	2532	1014	2618	2599
NR_108106	2	2	0	0	0	0	7	0	6	0	0	11	0	2	2
NM_005781	306	318	230	155	393	15	621	6	385	23	22	518	10	407	280
NM_178129	5	2	1	0	0	0	1	0	2	0	0	0	0	4	4
